issuer_cik,ticker,accession,filing_date,trans_date,owner_cik,role,shares,price,value
1047862,ED,0001047862-21-000032,2021-02-05,2021-01-31,0001286156,officer,32.7,70.78,2314.51
1047862,ED,0001047862-21-000031,2021-02-05,2021-01-31,0001796197,officer,32.68,70.78,2313.09
1047862,ED,0001047862-21-000030,2021-02-05,2021-01-31,0001592315,officer,32.72,70.78,2315.92
1047862,ED,0001047862-21-000029,2021-02-05,2021-01-31,0001777893,officer,4.71,70.78,333.37
1156039,ELV,0001156039-21-000008,2021-02-08,2021-02-04,0001420501,director,1700.0,296.03,503251.0
815556,FAST,0001179110-21-001381,2021-02-08,2021-02-05,0001246285,director,2500.0,47.31,118275.0
815556,FAST,0001179110-21-001380,2021-02-08,2021-02-04,0001454708,director,500.0,46.66,23330.0
815556,FAST,0001179110-21-001380,2021-02-08,2021-02-04,0001454708,director,1000.0,46.01,46010.0
51143,IBM,0001562180-21-001005,2021-02-09,2021-02-08,0001769389,director,64.0,123.3,7891.2
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-28,0001261238,director,6.0,49.24,295.44
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-06-02,0001261238,director,9.0,54.09,486.81
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-06-16,0001261238,director,12.0,57.76,693.12
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-06-07,0001261238,director,5.0,56.59,282.95
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-24,0001261238,director,8.0,47.64,381.12
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-17,0001261238,director,9.0,46.98,422.82
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-16,0001261238,director,6.0,45.09,270.54
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-07,0001261238,director,29.0,47.78,1385.62
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-07-24,0001261238,director,3.0,58.02,174.06
1781335,OTIS,0001062993-21-001093,2021-02-09,2020-04-09,0001261238,director,9.0,47.43,426.87
731766,UNH,0001209191-21-008905,2021-02-09,2021-02-05,0001550322,director,1500.0,332.68,499020.0
875045,BIIB,0001127602-21-004941,2021-02-10,2021-02-09,0001777331,director,898.0,267.0,239766.0
1137774,PRU,0001127602-21-004824,2021-02-10,2021-02-09,0001723472,director,1000.0,80.98,80980.0
1051470,CCI,0001051470-21-000016,2021-02-11,2021-02-09,0001611473,director,1500.0,163.03,244545.0
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-09,0001106627,director,200.0,26.27,5254.0
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-10,0001106627,director,400.0,25.77,10308.0
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-09,0001106627,director,200.0,26.26,5252.0
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-09,0001106627,director,1718.0,26.26,45114.68
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-10,0001106627,director,1543.0,25.76,39747.68
1688568,DXC,0001688568-21-000010,2021-02-11,2021-02-09,0001106627,director,7382.0,26.28,193998.96
702165,NSC,0001225208-21-002449,2021-02-12,2020-06-03,0001643244,officer,6.0,191.46,1148.76
702165,NSC,0001225208-21-002449,2021-02-12,2020-06-02,0001643244,officer,7.0,183.4,1283.8
702165,NSC,0001225208-21-002449,2021-02-12,2020-04-06,0001643244,officer,4.0,153.57,614.28
702165,NSC,0001225208-21-002449,2021-02-12,2020-04-03,0001643244,officer,26.0,142.34,3700.84
702165,NSC,0001225208-21-002449,2021-02-12,2020-04-02,0001643244,officer,21.0,141.73,2976.33
702165,NSC,0001225208-21-002449,2021-02-12,2020-06-04,0001643244,officer,6.0,191.89,1151.34
702165,NSC,0001225208-21-002449,2021-02-12,2021-01-08,0001643244,officer,17.0,255.16,4337.72
702165,NSC,0001225208-21-002449,2021-02-12,2021-01-07,0001643244,officer,8.0,247.66,1981.28
702165,NSC,0001225208-21-002449,2021-02-12,2021-01-06,0001643244,officer,8.0,241.15,1929.2
702165,NSC,0001225208-21-002449,2021-02-12,2021-01-05,0001643244,officer,10.0,235.66,2356.6
726728,O,0000726728-21-000021,2021-02-12,2020-11-30,0001419882,director,66.0,60.92,4020.72
726728,O,0000726728-21-000021,2021-02-12,2021-01-08,0001419882,director,6.0,59.34,356.04
726728,O,0000726728-21-000021,2021-02-12,2021-01-11,0001419882,director,6.0,59.45,356.7
726728,O,0000726728-21-000021,2021-02-12,2021-01-12,0001419882,director,9.0,57.43,516.87
24545,TAP,0001214659-21-001692,2021-02-12,2021-02-12,0001695566,director,1000.0,44.49,44490.0
20286,CINF,0001562180-21-001155,2021-02-16,2021-02-12,0001289454,director,383.0,91.6,35082.8
1095073,RE,0001567619-21-003952,2021-02-16,2021-02-11,0001072504,director,1000.0,244.19,244190.0
64803,CVS,0001127602-21-006284,2021-02-17,2021-02-17,0001221783,director,3000.0,72.0,216000.0
798354,FISV,0001209191-21-011393,2021-02-17,2021-02-16,0001253512,director,9100.0,110.99,1010009.0
719739,SIVB,0001562180-21-001247,2021-02-18,2021-02-16,0001830164,director,500.0,523.3,261650.0
1000228,HSIC,0001209191-21-012350,2021-02-19,2021-02-18,0001580247,director,1000.0,63.65,63650.0
1037646,MTD,0001515622-21-000014,2021-02-19,2021-02-17,0001625775,officer,50.0,1170.0,58500.0
93410,CVX,0001127602-21-007050,2021-02-22,2021-02-18,0001217496,director,3200.0,95.21,304672.0
879169,INCY,0001209191-21-013261,2021-02-23,2021-02-23,0001596492,officer,12925.0,77.37,1000007.25
1094285,TDY,0001094285-21-000064,2021-02-23,2021-02-22,0001640036,director,193.0,404.91,78147.63
1094285,TDY,0001094285-21-000064,2021-02-23,2021-02-22,0001640036,director,68.0,405.5,27574.0
1094285,TDY,0001094285-21-000064,2021-02-23,2021-02-23,0001640036,director,127.0,387.0,49149.0
1555280,ZTS,0001555280-21-000150,2021-02-23,2021-02-19,0001352881,director,2900.0,164.89,478181.0
1555280,ZTS,0001555280-21-000150,2021-02-23,2021-02-19,0001352881,director,2590.0,163.8,424242.0
1555280,ZTS,0001555280-21-000150,2021-02-23,2021-02-19,0001352881,director,2100.0,165.48,347508.0
804753,CERN,0001209191-21-013740,2021-02-24,2021-02-24,0001580700,officer,3582.0,69.87,250274.34
804753,CERN,0001209191-21-013740,2021-02-24,2021-02-22,0001580700,officer,3515.0,71.16,250127.4
804753,CERN,0001209191-21-013740,2021-02-24,2021-02-23,0001580700,officer,3558.0,70.27,250020.66
1666700,DD,0001666700-21-000011,2021-02-24,2021-02-22,0001401842,director,7500.0,69.94,524550.0
1534701,PSX,0001534701-21-000077,2021-02-24,2021-02-10,0001216478,director,77.0,76.32,5876.64
916365,TSCO,0000916365-21-000058,2021-02-24,2021-02-22,0001842251,director,100.0,165.62,16562.0
1800,ABT,0001415889-21-000968,2021-02-25,2021-02-23,0001640036,director,2040.0,122.5,249900.0
313927,CHD,0001127602-21-007868,2021-02-25,2021-02-24,0001295990,director,3000.0,80.22,240660.0
313927,CHD,0001127602-21-007868,2021-02-25,2021-02-24,0001295990,director,3000.0,80.29,240870.0
37996,F,0001209191-21-014296,2021-02-25,2021-02-23,0001090353,director,8620.0,11.62,100164.4
1000228,HSIC,0001209191-21-014343,2021-02-25,2021-02-24,0001232303,director,760.0,66.22,50327.2
1090727,UPS,0001225208-21-003761,2021-02-25,2021-02-24,0001500124,director,625.0,159.82,99887.5
936340,DTE,0000936340-21-000122,2021-02-26,2021-02-24,0001579773,director,395.0,126.56,49991.2
1071739,CNC,0001071739-21-000042,2021-03-01,2021-02-26,0001205242,director,170.0,58.45,9936.5
1415404,ECHO,0001415404-21-000007,2021-03-01,2021-02-25,0001524852,officer,20000.0,23.45,469000.0
1707925,LIN,0001062993-21-002072,2021-03-01,2021-02-26,0001757325,director,493.0,245.94,121248.42
1040971,SLG,0001179110-21-002494,2021-03-01,2021-02-25,0001216194,officer,636.0,25.22,16039.92
1040971,SLG,0001179110-21-002494,2021-03-01,2021-02-26,0001216194,officer,18707.0,25.33,473848.31
1410636,AWK,0001410636-21-000109,2021-03-02,2021-03-01,0001221433,director,61.0,144.83,8834.63
701985,BBWI,0001225208-21-004122,2021-03-02,2021-02-26,0001587561,director,3666.0,54.53,199906.98
1051470,CCI,0001051470-21-000098,2021-03-02,2021-03-01,0001041216,director,900.0,155.69,140121.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,65.0,158.75,10318.75
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,100.0,158.43,15843.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,1000.0,158.37,158370.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,100.0,158.44,15844.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,100.0,158.3,15830.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,100.0,158.12,15812.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,2600.0,158.95,413270.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,2100.0,158.47,332787.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-03-01,0001041216,director,500.0,155.49,77745.0
1051470,CCI,0001051470-21-000098,2021-03-02,2021-02-26,0001041216,director,200.0,158.44,31688.0
1324404,CF,0001104659-21-030720,2021-03-02,2021-02-26,0001565937,director,5.1,47.95,244.54
313616,DHR,0000899243-21-008992,2021-03-02,2021-02-26,0001015014,officer,900.0,221.46,199314.0
313616,DHR,0000899243-21-008992,2021-03-02,2021-02-26,0001015014,officer,900.0,221.46,199314.0
313616,DHR,0000899243-21-008992,2021-03-02,2021-02-26,0001015014,officer,4800.0,221.59,1063632.0
1359841,HBI,0001359841-21-000092,2021-03-02,2021-03-01,0001842473,officer,16650.0,17.98,299367.0
48039,HFC,0001209191-21-016341,2021-03-02,2021-03-01,0001207002,director,3310.0,37.57,124356.7
773840,HON,0001209191-21-016551,2021-03-02,2019-08-07,0001742938,officer,5.0,162.22,811.1
773840,HON,0001209191-21-016551,2021-03-02,2019-07-02,0001742938,officer,13.0,177.15,2302.95
60667,LOW,0000060667-21-000022,2021-03-02,2021-02-26,0000947324,director,4688.0,159.49,747689.12
60667,LOW,0000060667-21-000022,2021-03-02,2021-02-26,0000947324,director,1562.0,159.46,249076.52
