cik,ticker,sic,sic_description
719955,WSM,5700,"Retail-Home Furniture, Furnishings & Equipment Stores"
764478,BBY,5731,"Retail-Radio, Tv & Consumer Electronics Stores"
1326380,GME,5734,Retail-Computer & Computer Software Stores
829224,SBUX,5810,Retail-Eating & Drinking Places
1058090,CMG,5812,Retail-Eating  Places
940944,DRI,5812,Retail-Eating  Places
63908,MCD,5812,Retail-Eating  Places
1041061,YUM,5812,Retail-Eating  Places
1877971,POM,5900,Retail-Miscellaneous Retail
64803,CVS,5912,Retail-Drug Stores and Proprietary Stores
832988,SIG,5944,Retail-Jewelry Stores
1018724,AMZN,5961,Retail-Catalog & Mail-Order Houses
1130713,BBBY,5961,Retail-Catalog & Mail-Order Houses
1402057,CDW,5961,Retail-Catalog & Mail-Order Houses
701985,BBWI,5990,"Retail-Retail Stores, NEC"
1403568,ULTA,5990,"Retail-Retail Stores, NEC"
70858,BAC,6021,National Commercial Banks
831001,C,6021,National Commercial Banks
927628,COF,6021,National Commercial Banks
36966,FHN,6021,National Commercial Banks
49196,HBAN,6021,National Commercial Banks
19617,JPM,6021,National Commercial Banks
91576,KEY,6021,National Commercial Banks
713676,PNC,6021,National Commercial Banks
1281761,RF,6021,National Commercial Banks
92230,TFC,6021,National Commercial Banks
36104,USB,6021,National Commercial Banks
72971,WFC,6021,National Commercial Banks
109380,ZION,6021,National Commercial Banks
1390777,BNY,6022,State Commercial Banks
759944,CFG,6022,State Commercial Banks
35527,FITB,6022,State Commercial Banks
36270,MTB,6022,State Commercial Banks
73124,NTRS,6022,State Commercial Banks
93751,STT,6022,State Commercial Banks
312070,GRN,6029,"Commercial Banks, NEC"
1032033,SLM,6141,Personal Credit Institutions
4962,AXP,6199,Finance Services
1679788,COIN,6199,Finance Services
1958713,MI,6199,Finance Services
1512920,SII,6199,Finance Services
1601712,SYF,6199,Finance Services
1374310,CBOE,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
1156375,CME,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
1571949,ICE,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
1120193,NDAQ,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services"
2012383,BLK,6211,"Security Brokers, Dealers & Flotation Companies"
886982,GS,6211,"Security Brokers, Dealers & Flotation Companies"
1783879,HOOD,6211,"Security Brokers, Dealers & Flotation Companies"
1381197,IBKR,6211,"Security Brokers, Dealers & Flotation Companies"
96223,JEF,6211,"Security Brokers, Dealers & Flotation Companies"
1278021,MKTX,6211,"Security Brokers, Dealers & Flotation Companies"
895421,MS,6211,"Security Brokers, Dealers & Flotation Companies"
1593538,NAVI,6211,"Security Brokers, Dealers & Flotation Companies"
720005,RJF,6211,"Security Brokers, Dealers & Flotation Companies"
316709,SCHW,6211,"Security Brokers, Dealers & Flotation Companies"
1405528,USL,6221,Commodity Contracts Brokers & Dealers
1004434,AMG,6282,Investment Advice
820027,AMP,6282,Investment Advice
1858681,APO,6282,Investment Advice
1176948,ARES,6282,Investment Advice
38777,BEN,6282,Investment Advice
1393818,BX,6282,Investment Advice
914208,IVZ,6282,Investment Advice
1404912,KKR,6282,Investment Advice
1113169,TROW,6282,Investment Advice
1685040,BHF,6311,Life Insurance
320335,GL,6311,Life Insurance
1276520,GNW,6311,Life Insurance
59558,LNC,6311,Life Insurance
1099219,MET,6311,Life Insurance
1137774,PRU,6311,Life Insurance
4977,AFL,6321,Accident & Health Insurance
1126328,PFG,6321,Accident & Health Insurance
5513,UNM,6321,Accident & Health Insurance
1739940,CI,6324,Hospital & Medical Service Plans
1071739,CNC,6324,Hospital & Medical Service Plans
1156039,ELV,6324,Hospital & Medical Service Plans
49071,HUM,6324,Hospital & Medical Service Plans
1179929,MOH,6324,Hospital & Medical Service Plans
731766,UNH,6324,Hospital & Medical Service Plans
947484,ACGL,6331,"Fire, Marine & Casualty Insurance"
5272,AIG,6331,"Fire, Marine & Casualty Insurance"
899051,ALL,6331,"Fire, Marine & Casualty Insurance"
1067983,BRK-B,6331,"Fire, Marine & Casualty Insurance"
896159,CB,6331,"Fire, Marine & Casualty Insurance"
20286,CINF,6331,"Fire, Marine & Casualty Insurance"
1095073,EG,6331,"Fire, Marine & Casualty Insurance"
874766,HIG,6331,"Fire, Marine & Casualty Insurance"
2055116,KG,6331,"Fire, Marine & Casualty Insurance"
60086,L,6331,"Fire, Marine & Casualty Insurance"
80661,PGR,6331,"Fire, Marine & Casualty Insurance"
86312,TRV,6331,"Fire, Marine & Casualty Insurance"
11544,WRB,6331,"Fire, Marine & Casualty Insurance"
814585,MBI,6351,Surety Insurance
1267238,AIZ,6399,"Insurance Carriers, NEC"
354190,AJG,6411,"Insurance Agents, Brokers & Service"
315293,AON,6411,"Insurance Agents, Brokers & Service"
79282,BRO,6411,"Insurance Agents, Brokers & Service"
922621,ERIE,6411,"Insurance Agents, Brokers & Service"
1788451,LIFE,6411,"Insurance Agents, Brokers & Service"
62709,MRSH,6411,"Insurance Agents, Brokers & Service"
1140536,WTW,6411,"Insurance Agents, Brokers & Service"
1138118,CBRE,6500,Real Estate
1687229,INVH,6510,Real Estate Operators (No Developers) & Lessors
1578732,MMI,6531,Real Estate Agents & Managers (For Others)
1811074,TPL,6792,Oil Royalty Traders
922864,AIV,6798,Real Estate Investment Trusts
1053507,AMT,6798,Real Estate Investment Trusts
1035443,ARE,6798,Real Estate Investment Trusts
915912,AVB,6798,Real Estate Investment Trusts
1037540,BXP,6798,Real Estate Investment Trusts
1051470,CCI,6798,Real Estate Investment Trusts
906345,CPT,6798,Real Estate Investment Trusts
1297996,DLR,6798,Real Estate Investment Trusts
765880,DOC,6798,Real Estate Investment Trusts
1101239,EQIX,6798,Real Estate Investment Trusts
906107,EQR,6798,Real Estate Investment Trusts
920522,ESS,6798,Real Estate Investment Trusts
1289490,EXR,6798,Real Estate Investment Trusts
34903,FRT,6798,Real Estate Investment Trusts
1070750,HST,6798,Real Estate Investment Trusts
1020569,IRM,6798,Real Estate Investment Trusts
879101,KIM,6798,Real Estate Investment Trusts
912595,MAA,6798,Real Estate Investment Trusts
912242,MAC,6798,Real Estate Investment Trusts
726728,O,6798,Real Estate Investment Trusts
1045609,PLD,6798,Real Estate Investment Trusts
1393311,PSA,6798,Real Estate Investment Trusts
910606,REG,6798,Real Estate Investment Trusts
1034054,SBAC,6798,Real Estate Investment Trusts
1040971,SLG,6798,Real Estate Investment Trusts
