cik,ticker,sic,sic_description
1992243,TE,3674,Semiconductors & Related Devices
97476,TXN,3674,Semiconductors & Related Devices
820313,APH,3678,Electronic Connectors
1674101,VRT,3679,"Electronic Components, NEC"
1881551,STI,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies"
37996,F,3711,Motor Vehicles & Passenger Car Bodies
1467858,GM,3711,Motor Vehicles & Passenger Car Bodies
75362,PCAR,3711,Motor Vehicles & Passenger Car Bodies
1318605,TSLA,3711,Motor Vehicles & Passenger Car Bodies
1521332,APTV,3714,Motor Vehicle Parts & Accessories
908255,BWA,3714,Motor Vehicle Parts & Accessories
217346,TXT,3720,Aircraft & Parts
12927,BA,3721,Aircraft
773840,HON,3724,Aircraft Engines & Engine Parts
2089271,HONA,3724,Aircraft Engines & Engine Parts
101829,RTX,3724,Aircraft Engines & Engine Parts
1260221,TDG,3728,"Aircraft Parts & Auxiliary Equipment, NEC"
40533,GD,3730,Ship & Boat Building & Repairing
1501585,HII,3730,Ship & Boat Building & Repairing
943452,WAB,3743,Railroad Equipment
793952,HOG,3751,"Motorcycles, Bicycles & Parts"
936468,LMT,3760,Guided Missiles & Space Vehicles & Parts
1121788,GRMN,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
202058,LHX,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
1133421,NOC,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
1094285,TDY,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys"
1466258,TT,3822,Auto Controls For Regulating Residential & Comml Environments
1037868,AME,3823,"Industrial Instruments For Measurement, Display, and Control"
313616,DHR,3823,"Industrial Instruments For Measurement, Display, and Control"
1659166,FTV,3823,"Industrial Instruments For Measurement, Display, and Control"
1601046,KEYS,3823,"Industrial Instruments For Measurement, Display, and Control"
882835,ROP,3823,"Industrial Instruments For Measurement, Display, and Control"
1786842,VNT,3824,Totalizing Fluid Meters & Counting Devices
97210,TER,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
1967680,VLTO,3825,Instruments For Meas & Testing of  Electricity & Elec Signals
1090872,A,3826,Laboratory Analytical Instruments
12208,BIO,3826,Laboratory Analytical Instruments
1110803,ILMN,3826,Laboratory Analytical Instruments
1037646,MTD,3826,Laboratory Analytical Instruments
31791,RVTY,3826,Laboratory Analytical Instruments
1000697,WAT,3826,Laboratory Analytical Instruments
820318,COHR,3827,Optical Instruments & Lenses
319201,KLAC,3827,Optical Instruments & Lenses
1024478,ROK,3829,"Measuring & Controlling Devices, NEC"
97745,TMO,3829,"Measuring & Controlling Devices, NEC"
864749,TRMB,3829,"Measuring & Controlling Devices, NEC"
10456,BAX,3841,Surgical & Medical Instruments & Apparatus
10795,BDX,3841,Surgical & Medical Instruments & Apparatus
885725,BSX,3841,Surgical & Medical Instruments & Apparatus
1093557,DXCM,3841,Surgical & Medical Instruments & Apparatus
66740,MMM,3841,Surgical & Medical Instruments & Apparatus
1145197,PODD,3841,Surgical & Medical Instruments & Apparatus
943819,RMD,3841,Surgical & Medical Instruments & Apparatus
1778922,SGP,3841,Surgical & Medical Instruments & Apparatus
1964738,SOLV,3841,Surgical & Medical Instruments & Apparatus
310764,SYK,3841,Surgical & Medical Instruments & Apparatus
96943,TFX,3841,Surgical & Medical Instruments & Apparatus
105770,WST,3841,Surgical & Medical Instruments & Apparatus
1097149,ALGN,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1099800,EW,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1035267,ISRG,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1757898,STE,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
1136869,ZBH,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies"
818479,XRAY,3843,Dental Equipment & Supplies
1932393,GEHC,3844,X-Ray Apparatus & Tubes & Related Irradiation Apparatus
1613103,MDT,3845,Electromedical & Electrotherapeutic Apparatus
711404,COO,3851,Ophthalmic Goods
883569,FOSL,3873,"Watches, Clocks, Clockwork Operated Devices/Parts"
63276,MAT,3942,Dolls & Stuffed Toys
46080,HAS,3944,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)"
1748790,AMCR,3990,Miscellaneous Manufacturing Industries
277948,CSX,4011,"Railroads, Line-Haul Operating"
702165,NSC,4011,"Railroads, Line-Haul Operating"
100885,UNP,4011,"Railroads, Line-Haul Operating"
1090727,UPS,4210,Trucking & Courier Services (No Air)
728535,JBHT,4213,Trucking (No Local)
878927,ODFL,4213,Trucking (No Local)
815097,CCL,4400,Water Transportation
1513761,NCLH,4400,Water Transportation
884887,RCL,4400,Water Transportation
6201,AAL,4512,"Air Transportation, Scheduled"
766421,ALK,4512,"Air Transportation, Scheduled"
27904,DAL,4512,"Air Transportation, Scheduled"
92380,LUV,4512,"Air Transportation, Scheduled"
100517,UAL,4512,"Air Transportation, Scheduled"
1048911,FDX,4513,Air Courier Services
2082247,FDXF,4513,Air Courier Services
1075531,BKNG,4700,Transportation Services
1324424,EXPE,4700,Transportation Services
1043277,CHRW,4731,Arrangement of  Transportation of  Freight & Cargo
746515,EXPD,4731,Arrangement of  Transportation of  Freight & Cargo
1283699,TMUS,4812,Radiotelephone Communications
18926,LUMN,4813,Telephone Communications (No Radiotelephone)
732717,T,4813,Telephone Communications (No Radiotelephone)
732712,VZ,4813,Telephone Communications (No Radiotelephone)
1754301,FOX,4833,Television Broadcasting Stations
1754301,FOXA,4833,Television Broadcasting Stations
2041610,PSKY,4833,Television Broadcasting Stations
1091667,CHTR,4841,Cable & Other Pay Television Services
